chr	from	to
14	15389889	16617356
14	21505794	22060791
14	22060846	22409003
14	22409015	22669148
14	22977385	23334817
14	40633914	41055315
14	46800767	47703619
14	47955121	49324394
14	52239146	52727194
14	52727825	53057481
14	92684316	93509434
14	94271364	97912092
14	98882912	99268076
14	101492036	102587844
15	55148	699775
15	4983105	6507056
15	18082415	18611878
15	19213282	19749842
15	21166651	23800432
15	27685296	28377512
15	29379686	31349694
15	31349749	32472189
15	34621890	39545249
15	39751260	40337438
15	49871175	51289340
15	71077606	71478089
15	107161884	108616420
16	49950	1602923
16	12171109	13094260
16	13094892	13405972
16	15273073	15837478
16	19959702	20271634
16	21677159	22557673
16	29817113	32530042
16	37771256	40143368
16	56129640	56997251
16	64930112	65152520
16	66324204	66735693
16	68645712	68962106
16	75003578	75444526
16	75444531	75622676
17	65659	1799288
17	2928381	4901833
17	11794249	12432019
17	12605101	12931609
17	14374096	15963509
17	31663251	32770638
17	39940441	40495389
17	41590265	42398455
17	42982290	43794333
17	44198978	45446260
17	45446261	46395682
17	47826723	49787934
17	54583735	55221820
17	57702990	58500366
17	62872641	63676617
17	69716388	70151804
17	71892459	72472708
17	86855748	87198613
17	89394291	90585104
18	447384	1214178
18	29898202	30397814
18	30744094	31349159
18	38447465	39131941
18	40091740	40948592
18	42072947	42881614
18	46173414	46636372
18	55607789	56140592
19	149497	1241375
19	15078908	15615129
19	26298648	29826880
19	36099591	37033405
19	37033440	37814045
