chr	from	to
12	49212029	50000805
13	13175497	13714176
13	22673203	22910106
13	27163320	27386428
13	33481550	34758800
13	57013715	57335164
13	89490629	89931887
13	89983060	90644819
13	91367415	91811916
14	480106	1012524
14	1012992	1203971
14	1451545	2038202
14	5604961	6061394
14	6061398	6530271
14	6654855	6850290
14	15515255	16617356
14	21601141	22060791
14	22060846	22409003
14	22598728	22817168
14	22977385	23334817
14	40633914	41055315
14	46800767	47703619
14	47955121	49324394
14	92684316	93509434
14	94271364	97564431
14	98678319	99268076
14	101492036	102587844
15	55148	699775
15	4983105	6507056
15	18082415	18611878
15	19168712	19749842
15	21166651	23800432
15	27685296	28377512
15	29538040	29990963
15	30134637	30691829
15	30781129	31233296
15	31665533	32149434
15	32149459	32472189
15	34621890	39545249
15	39751260	40337438
15	49871175	51289340
15	52842930	53442522
15	71077606	71478089
15	107161884	108313106
16	49950	1602923
16	12171109	13094260
16	13094892	13405972
16	15273073	15837478
16	19959702	20271634
16	21755535	22557673
16	29817113	32530042
16	33416453	33801206
16	39191288	40143368
16	56129640	56997251
16	64906004	64947443
16	64947452	65152520
16	66324204	66735693
16	68645712	68962106
16	75003578	75444526
16	75622700	76059957
17	65659	1799288
17	2928381	4901833
17	11794249	12432019
17	12605101	12931609
17	14374096	14949341
17	14949348	15963509
17	31663251	32770638
17	33082171	34440127
17	39940441	40495389
17	41590265	42398455
17	42829450	43794333
17	44198978	45446260
17	45446261	46395682
17	47826723	49787934
17	54583735	55221820
17	57702990	58331985
17	62872641	64014360
17	69716388	70151804
17	71892459	72472708
17	86855748	87198613
17	89394291	90802071
18	447384	1214178
18	29898202	30397814
18	38447465	39131941
18	40091740	40948592
18	42072947	42881614
18	46173414	46636372
18	55715363	56140592
18	70395068	70773197
19	149497	1241375
19	15078908	15615129
19	26298648	29826880
19	36099591	37033405
19	37033440	37814045
